link,name,price,rating,review
www.amazon.com/PlayStation-4-Console-1TB-Slim/dp/B074LRF639?dchild=1,PlayStation 4 Console - 1TB Slim Edition,$379.89,4.8 out of 5 stars,"3,758"
www.amazon.com/PlayStation-Console-Light-System-Greatest-4/dp/B077QT6K94?dchild=1,"SONY PlayStation 4 Slim 1TB Console, Light & Slim PS4 System, 1TB Hard Drive, All the Greatest Games, TV, Music & More",$375.00,4.7 out of 5 stars,512
www.amazon.com/NexiGo-Playstation-Console-Controller-Charging/dp/B08QHG53MP?dchild=1,NexiGo 2020 Newest Playstation 4 PS4 Slim Console Holiday Bundle 1TB HDD PS4 Controller Charging Station 4K HDMI Cable Bundle 5FT,$549.00,4.5 out of 5 stars,146
www.amazon.com/Sony-PlayStation-Pro-1TB-Console-4/dp/B07K14XKZH?dchild=1,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$629.00,4.7 out of 5 stars,"2,803"
www.amazon.com/PlayStation-4-Slim-500GB-Console-Discontinued/dp/B01M0RU6LY?dchild=1,PlayStation 4 Slim 500GB Console [Discontinued],$382.00,4.6 out of 5 stars,"1,269"
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08QJSHMMN?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Holiday Gaming Bundle - iPuzzle Red Reindeer Dust Cover for PS4 + 3 Feet HDMI Cable,$499.00,4.2 out of 5 stars,25
www.amazon.com/Playstation-Gaming-Console-Oydisen-Cable/dp/B08FY7PS2Y?dchild=1,2020 Playstation 4 PS4 1TB Slim Gaming Console with Oydisen HDMI Cable - Black,$499.99,4.9 out of 5 stars,12
www.amazon.com/PlayStation-Iron-Man-Star-Wars-Compatible/dp/B08KTRXC2G?dchild=1,"PlayStation VR Iron Man and Star Wars Set, Compatible with PS4 & PS5: VR Headset, Camera, Move Motion Controllers, Iron Man, Star Wars: Squadrons and Mytrix Microfiber Cleaning Cloths",$559.99,4.7 out of 5 stars,74
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08RD7HCDY?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Holiday Gaming - iPuzzle 4 Colors Silicone Cover Skin Protector for PS4 + 3 Feet HDMI Cable,$499.00,4.7 out of 5 stars,4
www.amazon.com/PlayStation-Slim-1TB-Console-Spider-Man-4/dp/B07HHW8C4V?dchild=1,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$397.00,4.7 out of 5 stars,"2,054"
www.amazon.com/PlayStation-500GB-Console-Model-Discontinued-4/dp/B00BGA9WK2?dchild=1,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"12,742"
www.amazon.com/Sony-Playstation-Console-DualShock-Controller/dp/B08R8YWXY7?dchild=1,Sony Playstation 4 Console - 1TB Slim Edition Jet Black - with 1 DualShock 4 Wireless Controller - Family Christmas Holiday Gaming Bundle - iPuzzle Red Reindeer Dust Cover for PS4,$497.00,3.9 out of 5 stars,8
www.amazon.com/Holiday-Family-Bundle-Playstation-Slim/dp/B0822KN151?dchild=1,Holiday Family Bundle Sony Playstation 4 1TB Slim- Jet Black,$490.00,4.5 out of 5 stars,84
www.amazon.com/Playstation-DualShock-Wireless-Controller-Mytrix/dp/B08GPDSBF2?dchild=1,"Playstation 4 Pro 2TB Gaming Console with DualShock 4 Wireless Controller Bundle, 4K HDR PS4 Pro 2TB Storage HDD Enhanced by Mytrix",$699.99,4.7 out of 5 stars,88
www.amazon.com/Playstation-Included-Spider-Man-Ghost-Manta/dp/B0891LH1D7?dchild=1,"2020 Playstation 4 PS4 Slim 1TB Console Holiday Bundle, Light & Slim PS4 System, 1TB Hard Drive Ghost Manta Charging Station Dock Bundle",$599.00,4.7 out of 5 stars,53
www.amazon.com/NexiGo-2020-Console-Holiday-Bundle/dp/B08QJQS33T?dchild=1,NexiGo 2020 PS 4 Console Holiday Bundle 1TB HDD - PS4 Days of Play Limited Edition - Steel Black PS4 Controller Charging Station Bundle,$649.00,3.7 out of 5 stars,5
www.amazon.com/Holiday-Ultimate-Playstation-Marvels-Spider-Man/dp/B082Z7GLS1?dchild=1,Holiday Ultimate Bundle Playstation 4 1TB Slim w/bonus Marvel's Spider-Man: Game of The Year Edition,$495.00,4.7 out of 5 stars,690
www.amazon.com/PlayStation-Marvels-Iron-Man-Bundle-4/dp/B08NRGF2DL?dchild=1,PlayStation VR Marvel's Iron Man VR Bundle,$349.99,4.6 out of 5 stars,31
www.amazon.com/Cyberpunk-2077-PlayStation-4/dp/B07DJWBYKP?dchild=1,Cyberpunk 2077 - PlayStation 4,$34.94,3.6 out of 5 stars,"10,245"
www.amazon.com/Marvels-Spider-Man-Miles-Morales-playstation-4/dp/B08KSN7GF4?dchild=1,Marvel's Spider-Man: Miles Morales (PS4),$77.99,4.5 out of 5 stars,41
www.amazon.com/Danganronpa-Trilogy-PS4-playstation-4/dp/B07MHPPBQ7?dchild=1,Danganronpa Trilogy (PS4),$59.45,4.8 out of 5 stars,897
www.amazon.com/Collective-Dominator-Controller-Adapter-playstation-4/dp/B01L8QHXJA?dchild=1,Collective Minds Strike Pack F.P.S. Dominator Controller Adapter with MODS & Paddles for PS4,$37.74,4.2 out of 5 stars,"17,318"
www.amazon.com/DualShock-Wireless-Controller-PlayStation-Gold-4/dp/B071RSSMLL?dchild=1,DualShock 4 Wireless Controller for PlayStation 4 - Gold,$64.94,4.7 out of 5 stars,"86,404"
www.amazon.com/Stealth-Wireless-Gaming-Headset-PlayStation-Console/dp/B08D46V1TK?dchild=1,Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset for PlayStation 5 and PlayStation 4,$99.95,4.6 out of 5 stars,"4,066"
www.amazon.com/Marvels-Spider-Man-Miles-Morales-Launch-PlayStation/dp/B08JHVG9ZJ?dchild=1,Marvel's Spider-Man: Miles Morales Launch Edition - PlayStation 4,$49.88,4.9 out of 5 stars,"7,700"
www.amazon.com/YCCTEAM-Controller-Compatible-Upgraded-playstation-4/dp/B0872MNQVD?dchild=1,YCCTEAM Wireless Game Controller Compatible with PS4/ Slim/ Pro Console (Jet Black),$36.99,4.0 out of 5 stars,"2,027"
www.amazon.com/Gaming-Headset-Beexcellent-Headphone-Isolation/dp/B07T17YH1T?dchild=1,"PS4 Gaming Headset with Mic, Beexcellent Newest Deep Bass Stereo Sound Over Ear Headphone with Noise Isolation LED Light for PC Laptop Tablet Mac (Blue)",$25.99,4.5 out of 5 stars,"15,152"
www.amazon.com/DualShock-Wireless-Controller-PlayStation-Magma-4/dp/B01MD19OI2?dchild=1,DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$64.98,4.7 out of 5 stars,"86,405"
www.amazon.com/BEBONCOOL-Controller-DualShock-Playstation-PlayStation4/dp/B071WNWHZ7?dchild=1,"BEBONCOOL PS4 Controller Charger, Controller USB Charging Station Dock for DualShock 4, PlayStation 4 Charging Station for Sony Playstation4 / PS4 / PS4 Slim / PS4 Pro Controller-Black",$14.99,4.7 out of 5 stars,"32,171"
www.amazon.com/Controller-Playstation-Team-Joystick-Vibration/dp/B088NS6JJS?dchild=1,"Controller for Playstation 4, Y Team Controller for PS4/ Pro/Slim, Game Controller Joystick with Vibration Function, Headset Jack, 6-axis Gyro Sensor/1000mAh Battery(White)",$31.97,4.0 out of 5 stars,869
www.amazon.com/PS4-Controller-Charging-Cable-Compatible/dp/B07X6CWM3G?dchild=1,"PS4 Controller Charger Charging Cable 10ft 2 Pack Nylon Braided Extra Long Micro USB 2.0 High Speed Data Sync Cord Compatible for Playstaion 4, PS4 Slim/Pro, Xbox One S/X Controller, Android Phones",$9.99,4.6 out of 5 stars,"3,608"
www.amazon.com/Orzly-Consoles-Nintendo-Headphones-Cancelling/dp/B08HL9Y8G3?dchild=1,"Orzly Gaming Headset for PC and Gaming Consoles PS5, PS4, Xbox Series X | S, Xbox ONE, Nintendo Switch & Google Stadia Stereo Sound Headphones with Noise Cancelling mic - Hornet RXH-20 Abyss Edition",$34.99,4.3 out of 5 stars,699
www.amazon.com/Just-Dance-2021-PlayStation-4-Standard/dp/B08GQW42QK?dchild=1,Just Dance 2021 - PlayStation 4 Standard Edition,$25.00,4.8 out of 5 stars,"1,296"
www.amazon.com/Attachment-Playstation-Controller-Controllers-Gaming-Console/dp/B08R92SQXW?dchild=1,"Strike Pack for PS4, Back Button Attachment for Playstation 4, F.P.S. Dominator Controller Mod Kit , Controller Paddles,With 2 Pcs Wireless Controllers Silicone Analog Thumb Grip Stick Cover",$28.99,1.0 out of 5 stars,1
www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00K59HKIQ?dchild=1,$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"125,934"
www.amazon.com/Controller-ORDA-Wireless-Playstation-Indicator/dp/B087JTLHNT?dchild=1,"Wireless Controller Compatible with Playstation 4/Pro/Slim/PC with Motion Motors and Audio Function,LED Indicator, USB Cable - University Blue",$21.99,4.1 out of 5 stars,"1,704"
www.amazon.com/PS4-Controller-DualShock-Playstation-Transparent/dp/B07MWZNSBF?dchild=1,"Game Controller for PS4,Wireless Controller for Playstation 4 with Dual Vibration Game Joystick (Blue)",$27.99,3.8 out of 5 stars,"6,162"
www.amazon.com/BEBONCOOL-Vertical-Cooling-Playstation-Controller/dp/B07RT57VXV?dchild=1,"PS4 Stand Cooling Fan for PS4 Slim / PS4 Pro / Playstation 4, PS4 Pro Stand Vertical Stand Cooler with Dual Controller Charge Station & 16 Game Storage",$22.79,4.4 out of 5 stars,"4,378"
www.amazon.com/VOYEE-Controller-Replacement-Compatible-Playstation/dp/B08N4FXHG3?dchild=1,"VOYEE Wireless Controller Replacement for PS4, Upgraded with 800 mAh Battery/Double Shock/6 Axis Compatible with Sony Playstation 4/Pro/Slim",$23.99,4.5 out of 5 stars,6
www.amazon.com/VOYEE-Replacement-Canceling-Headphone-Compatible/dp/B08LBBQQRL?dchild=1,"VOYEE Gaming Headset Replacement for Xbox/PC/PS5/PS4 Headset, Wired Noise Canceling Over Ear Headphone with Mic/Surround Sound/LED Light Compatible with Switch/PC/PS5/PS4/Xbox One/Laptop/Tablet/Mac",$20.99,4.7 out of 5 stars,40
www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B004RMK4P8?dchild=1,$50 PlayStation Store Gift Card [Digital Code],$50.00,4.7 out of 5 stars,"125,934"
www.amazon.com/PowerA-USB-Charging-Cable-PlayStation-4/dp/B00HUXPZPK?dchild=1,PowerA USB Charging Cable for PlayStation 4,$6.99,4.6 out of 5 stars,"25,375"
www.amazon.com/Controller-Vibration-Compatible-Bluetooth-Playstation/dp/B08LGCGFGK?dchild=1,"Game Controller for PS4 (Electric Purple), Dual Vibration Compatible with Windows PC & Android OS, Wireless Bluetooth Controller for Playstation 4",$31.49,3.8 out of 5 stars,50
www.amazon.com/PlayStation-4-Slim-1TB-Console/dp/B071CV8CG2?dchild=1,PlayStation 4 Slim 1TB Console,,4.8 out of 5 stars,"10,943"
www.amazon.com/Controller-Wireless-Playstation-Vibration-Compatible-4/dp/B08M9B4QV2?dchild=1,"LITTJOY For PS4 Controller, Wireless Controller for Playstation 4,with Dual Vibration/Stereo Headset Jack/Touch Pad / Six-axis Motion Control,Compatible with PS4/Slim/Pro Console",$36.99,4.3 out of 5 stars,171
www.amazon.com/Controllers-Playstation-YU33-Controller-Works%EF%BC%882020/dp/B08KGFH48R?dchild=1,"Purple Wireless Controllers for PS4, Wireless Remote Control for Sony Playstation 4, YU33 PS4 Joystick Gamepad for PS4 Controller with Dualshock and Charging Cable, 3rd-Party Works（2020,Purple）",$26.99,4.2 out of 5 stars,187
www.amazon.com/PlayStation-4-Pro-1TB-Console/dp/B01LOP8EZC?dchild=1,PlayStation 4 Pro 1TB Console,,4.8 out of 5 stars,"10,016"
www.amazon.com/RUNMUS-Surround-Canceling-Headphones-Compatible/dp/B07FSFJNVV?dchild=1,"RUNMUS Gaming Headset for PS4, Xbox One, PC Headset w/Surround Sound, Noise Canceling Over Ear Headphones with Mic & LED Light, Compatible with PS5, PS4, Xbox One, Switch, PC, PS3, Mac, Laptop, White",$29.98,4.7 out of 5 stars,"1,031"
www.amazon.com/Sony-PlayStation-Console-3002470-Black-Renewed/dp/B079YDY7P2?dchild=1,Sony - PlayStation 4 Pro Console (3002470) Jet Black - 1TB - Renewed,,3.7 out of 5 stars,28
www.amazon.com/Dualshock-Playstation-Controller-JDM-040-Chameleon/dp/B076ZW35SQ?dchild=1,OC Gaming PS4 Dualshock Playstation 4 Controller Custom Soft Touch New Model JDM-040 (Chameleon),$89.99,4.6 out of 5 stars,"1,246"
www.amazon.com/PUNWEOS-Controller-Playstation-DualShock-Vibration/dp/B08L6P6SMH?dchild=1,"PUNWEOS Wireless PS4 Controller for Playstation 4, DualShock 4 Game Controller with Gyro/HD Dual Vibration/Touch Panel/LED Indicator Gamepad Remote Joystick for Playstation 4/Pro/Slim(Red)",$38.99,4.3 out of 5 stars,73
www.amazon.com/Call-Duty-Black-Cold-PlayStation-4/dp/B08GR4QMC9?dchild=1,Call of Duty: Black Ops Cold War (PS4),$49.94,4.6 out of 5 stars,"3,383"
www.amazon.com/XIBERIA-Microphone-Ultra-Low-Cancelling-Life%EF%BC%88Xbox/dp/B08J82VNSW?dchild=1,"XIBERIA Wireless Gaming Headset for PS4,PC with Microphone,Lossless 2.4GHz Ultra-Low Latency,Double Chamber Drivers,Noise Cancelling MIC,Long Battery Life（Xbox One in Wired Mode）",$49.99,4.2 out of 5 stars,173
www.amazon.com/Logitech-Dual-motor-Feedback-Responsive-PlayStation/dp/B00Z0UWWYC?dchild=1,"Logitech Dual-Motor Feedback Driving Force G29 Gaming Racing Wheel with Responsive Pedals for PlayStation 5, PlayStation 4 and PlayStation 3 - Black",$249.99,4.7 out of 5 stars,"12,955"
www.amazon.com/Christmas-Alpine-Green-Camo-Controller/dp/B08HYJ9TW5?dchild=1,"Christmas Alpine Green and Red Camo PS4 Controller 2 Pack - AUGEX Wireless PS4 Remote Control for Sony Playstation 4（Red Camouflage and Green Joystick PS4,2020 New）…",$51.99,4.5 out of 5 stars,282
www.amazon.com/Playstation-Move-Twin-Pack-PS4-4/dp/B079JCLPBC?dchild=1,Playstation Move Twin Pack (PS4),$139.53,4.5 out of 5 stars,"3,986"
www.amazon.com/Sony-PlayStation-Pro-1TB-Console-4/dp/B07HM8YX5X?dchild=1,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro) (Renewed),,4.1 out of 5 stars,46
www.amazon.com/Mini-Wired-Gamepad-HORI-playstation-4/dp/B01A6MKVAA?dchild=1,PS4 Mini Wired Gamepad (Red) by HORI - Officially Licensed by Sony,$29.99,4.6 out of 5 stars,866
www.amazon.com/MLB-Show-MVP-PS4-Multi-players-Playstation/dp/B07ZLJX6CJ?dchild=1,MLB The Show 20 MVP Edition for PS4 - PS4 exclusive - ESRB Rated E (Everyone) - Sports Game - Max Number of Multi-players: 8 - Receive 4 Days Early Access,$34.99,4.8 out of 5 stars,237
www.amazon.com/Petilleur-Wireless-Bluetooth-Controller-Camouflage/dp/B08RS6BN3W?dchild=1,Petilleur PS4 Wireless Bluetooth Game Controller Ps4 Controller with Light bar (Camouflage Blue),$28.99,5.0 out of 5 stars,3
www.amazon.com/Mortal-Kombat-Christopher-Lambert/dp/B004AWV468?dchild=1,Mortal Kombat,$2.99,4.6 out of 5 stars,"2,156"
www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00XJZHJCA?dchild=1,$60 PlayStation Store Gift Card [Digital Code],$60.00,4.7 out of 5 stars,"125,934"
www.amazon.com/KontrolFreek-Call-Duty-Performance-Thumbsticks-PlayStation/dp/B08K977CMV?dchild=1,"KontrolFreek Call of Duty: Black Ops Cold War Performance Thumbsticks for PlayStation 4 (PS4) and PlayStation 5 (PS5) | 2 High-Rise, Convex | Black/Red",$19.99,4.4 out of 5 stars,249
www.amazon.com/Turtle-Gaming-Headset-PlayStation-Nintendo-4/dp/B07NQX1J99?dchild=1,"Turtle Beach Recon 70 Gaming Headset for PlayStation 5, PS4 Pro, PS4, Xbox One & Xbox Series X|S, Nintendo Switch, PC, and Mobile",$39.95,4.5 out of 5 stars,"40,289"
www.amazon.com/Christmas-Red-Camo-PS4-Controller/dp/B08HYQWS53?dchild=1,"Christmas Red Camo PS4 Controller - AUGEX Wireless PS4 Remote Control for Sony Playstation 4（Red Camouflage Joystick PS4,2020 New）",$28.99,4.3 out of 5 stars,109
www.amazon.com/Turtle-Beach-compatible-controller-Playstation-4/dp/B00YXO5UKY?dchild=1,"Turtle Beach Recon 50P Gaming Headset for PlayStation 5, PS4 Pro & PS4",$24.95,4.4 out of 5 stars,"15,738"
www.amazon.com/Controller-Charger-OIVO-Indicator-Playstation/dp/B07YWYXPC1?dchild=1,"PS4 Controller Charger Station, OIVO Playstation 4 Controller Charging Dock Station, Built-in 1.8H Fast-Charging Chip",$13.89,4.7 out of 5 stars,"5,927"
www.amazon.com/DualShock-Back-Button-Attachment-PlayStation-4/dp/B082VX16VJ?dchild=1,DualShock 4 Back Button Attachment - PlayStation 4,$19.96,4.6 out of 5 stars,"4,256"
www.amazon.com/Hitman-3-Guide-Amity-Esperanza-ebook/dp/B08TVTG6SV?dchild=1,Hitman 3: Guide to the game,$3.99,,
www.amazon.com/YCCTEAM-Wireless-Controller-PS4-Playstation/dp/B082QS9XHJ?dchild=1,"Controller for PS4, Wireless Controller for Playstation 4/Pro/Slim Console, Gamepad Joystick Game Controller with Dual Vibration/6-axis Gyro Sensor/Audio Function/1000mAh, Not OEM (Black)",$30.97,3.9 out of 5 stars,"1,196"
www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B07C438TMN?dchild=1,$25 PlayStation Store Gift Card [Digital Code],$25.00,4.7 out of 5 stars,"125,934"
www.amazon.com/DualShock-Wireless-Controller-PlayStation-Sony-4/dp/B0125JFATY?dchild=1,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black (Renewed),,4.0 out of 5 stars,249
www.amazon.com/Controller-Interface-Expansion-High-Speed-Transmission/dp/B08HV657ZV?dchild=1,"Ps4 Slim Hub, 4-Port USB Controller Charging Interface Expansion, USB 3.0 High-Speed Transmission Interface, Suitable for Ps4 Slim",$14.99,4.3 out of 5 stars,383
www.amazon.com/Wireless-Controller-YAEYE-Joystick-Function/dp/B08CV8LMX4?dchild=1,"Wireless Controller for PS4, YAEYE Gamepad Joystick Wireless Remote Pro Controller for PS4/PRO/SLIM with Motion Motors and Built-in Audio Function (Black)",$29.99,4.4 out of 5 stars,27
www.amazon.com/BENGOO-V-4-Controller-Cancelling-Headphones/dp/B076DWKD5B?dchild=1,"BENGOO V-4 Gaming Headset for Xbox One, PS4, PC, Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light Bass Surround Soft Memory Earmuffs for PS2 Mac Nintendo 64 PS5 Games",$24.98,4.4 out of 5 stars,"18,726"
www.amazon.com/Assassins-Valhalla-PlayStation-Standard-upgrade-4/dp/B087XTT5GZ?dchild=1,Assassin’s Creed Valhalla PlayStation 4 Standard Edition with free upgrade to the digital PS5 version,$34.99,4.7 out of 5 stars,"5,382"
www.amazon.com/Wireless-Controller-Playstation-YCCTEAM-1000mAh/dp/B086YCZ5H4?dchild=1,YCCTEAM Wireless Game Controller Compatible with PS4 Console/iOS 13 /Android 10 /MAC/PC (White),$36.95,3.7 out of 5 stars,"2,578"
www.amazon.com/OIVO-Multifunctional-Vertical-Controller-Indicators/dp/B079FPFV3X?dchild=1,"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",$27.99,4.5 out of 5 stars,"16,426"
www.amazon.com/Petilleur-Wireless-Bluetooth-Controller-Light/dp/B08QZ69PFW?dchild=1,Petilleur PS4 Wireless Bluetooth Game Controller Ps4 Controller with Light bar (Rose Gold),$27.99,4.3 out of 5 stars,8
www.amazon.com/Madden-NFL-21-PlayStation-4/dp/B089DFJJGR?dchild=1,Madden NFL 21 – PlayStation 4 & PlayStation 5,$29.99,4.7 out of 5 stars,"6,729"
www.amazon.com/Wireless-Controller-Compatible-Console-Speaker/dp/B08LDJPQPL?dchild=1,"Wireless Game Controller Compatible with PS4/ Slim/Pro Console and Built-in Speaker,Gyro and Motor Remote - White",$26.99,4.0 out of 5 stars,54
www.amazon.com/Controller-Playstation-Vibration-Indicator-Anti-Slip/dp/B08BYGWM6Y?dchild=1,"Game Controller for PS4, Wireless Controller for Playstation 4/Pro/Slim/PC, Touch Panel Gamepad with Dual Vibration and Audio Function, LED Indicator, USB Cable and Anti-Slip",$33.68,4.2 out of 5 stars,496
www.amazon.com/Surround-Canceling-Flexible-Earmuffs-Nintendo/dp/B08CVNP9YC?dchild=1,Gaming Headset PS4 Headset Pro 7.1 Surround Sound Noise Canceling Flexible Mic with 2pcs Mic Cover RGB LED Light Memory Earmuffs for Xbox one Nintendo Switch PC,$21.99,4.7 out of 5 stars,"1,535"
www.amazon.com/PICTEK-Controller-Wireless-Vibration-Playstation/dp/B0852VFKP8?dchild=1,"PS4 Controller Wireless, PICTEK 1300mAh Controller for Playstation 4/Pro/Slim, Dual Vibration Game Controller Joystick with Headset Jack",$36.99,4.3 out of 5 stars,"2,642"
www.amazon.com/Mafia-Trilogy-PS4-playstation-4/dp/B088X7PJWF?dchild=1,Mafia Trilogy (PS4),$50.99,4.7 out of 5 stars,721
www.amazon.com/KontrolFreek-Playstation-Controller-Performance-Thumbsticks/dp/B01BCO8GLW?dchild=1,KontrolFreek FPS Freek Inferno for Playstation 4 (PS4) Controller | Performance Thumbsticks | 2 High-Rise Concave | Red,$14.99,4.5 out of 5 stars,"8,227"
www.amazon.com/Controller-Revolution-Unlimited-Playstation-Sony-4/dp/B07NDCL3XB?dchild=1,NACON Controller Esports Revolution Unlimited Pro V3 PS4 Playstation 4 / PC - Wireless/Wired - Nacon-311608,$139.94,4.0 out of 5 stars,"3,923"
www.amazon.com/Controller-Compatible-Wireless-Playstation-1000mAh/dp/B08JCK9KPV?dchild=1,"Controller Compatible with PS4, Wireless Controller for Playstation 4/Pro/Slim 1000mAh Game Controller with Dual Motor and Gyro, Built-in Speaker Audio Jack Pro Controller Non-OEM (White)",$29.99,4.2 out of 5 stars,19
www.amazon.com/Minecraft-Starter-Collection-PlayStation-4/dp/B0815VFZRL?dchild=1,Minecraft Starter Collection - PlayStation 4,$29.49,4.8 out of 5 stars,"4,411"
www.amazon.com/Flagship-Sony-Station-Playstation-Console/dp/B08232YKXB?dchild=1,"Newest Flagship Sony Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle - Included 3X Games (The Last of Us, God of War, Horizon Zero Dawn) 1TB Hard Drive Incredible Games -Jet Black",$493.00,4.7 out of 5 stars,822
www.amazon.com/Wireless-Controller-Playstation-JORREP-Compatible/dp/B08R5LX2M3?dchild=1,"Wireless Controller for Playstation 4, JORREP Wireless Game Controller Compatible with PS4/Pro/Slim Console",$39.99,,
www.amazon.com/Cleaning-TECKMAN-Screwdriver-Playstation-Controller/dp/B087JLL5KP?dchild=1,"Cleaning Repair Tool Kit for PS4 PS5, TECKMAN TR9 Torx Security Screwdriver with PH00 PH0 PH1 Phillips Screwdriver Set for Sony Playstation 4 & 5 Main,Controller Tear Down and Dust Removal",$9.99,4.7 out of 5 stars,"1,437"
www.amazon.com/PlayStation-VR-Marvels-Iron-Bundle-4/dp/B08CD34NZH?dchild=1,PlayStation VR - Marvel's Iron Man Bundle,,4.7 out of 5 stars,"1,600"
www.amazon.com/Controller-Customized-Connector-Playstation-Controllers/dp/B08LDV27BH?dchild=1,"PS4 Controller Charger Charging Cable, 2 Pack 10ft Extra Long Play and Charge Cable Sync Cord with Customized Micro USB Connector for Sony Playstation 4/ PS4 Slim/ PS4 Pro Controllers (ONLY Fit PS4)",$7.99,4.9 out of 5 stars,12
www.amazon.com/VANGUARD-Personal-Gaming-Environment-Consoles-Included/dp/B00H0R9DSG?dchild=1,"GAEMS VANGUARD Personal Gaming Environment for Xbox One S, Xbox One, PS4, PS3, Xbox 360 (Consoles Not Included) - Xbox One",$299.25,4.7 out of 5 stars,"1,449"
www.amazon.com/Wireless-Controller-Playstation-Y-Team-1000mAh/dp/B08FMGR7PY?dchild=1,"Wireless Controller for Playstation 4, Y-Team Game Controller for PS4 1000mAh Gamepad Remote with Dual Motor, Gyro, 3.5mm Audio Jack, Speaker, LED, USB for PS4/Pro/Slim/PC/Laptop (White)",$36.95,4.2 out of 5 stars,243
www.amazon.com/Mx-ATV-All-Out-Anniversary-PlayStation/dp/B07NLQTL4C?dchild=1,Mx Vs ATV All Out: Anniversary Edition - PS4 - PlayStation 4,$18.99,4.4 out of 5 stars,289
www.amazon.com/Wireless-Controller-YAEYE-Joystick-Function/dp/B08CV8LMX4?dchild=1,"Wireless Controller for PS4, YAEYE Gamepad Joystick Wireless Remote Pro Controller for PS4/PRO/SLIM with Motion Motors and Built-in Audio Function (Black)",$29.99,4.4 out of 5 stars,27
www.amazon.com/BENGOO-V-4-Controller-Cancelling-Headphones/dp/B076DWKD5B?dchild=1,"BENGOO V-4 Gaming Headset for Xbox One, PS4, PC, Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light Bass Surround Soft Memory Earmuffs for PS2 Mac Nintendo 64 PS5 Games",$24.98,4.4 out of 5 stars,"18,726"
www.amazon.com/Star-Wars-Squadrons-PS4-playstation-4/dp/B08B6QBD53?dchild=1,Star Wars: Squadrons (PS4),$28.89,4.5 out of 5 stars,"3,207"
